0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:28:45 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:28:45 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 200 9769
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:28:45 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:14 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:14 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:14 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 200 61149
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:14 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:14 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:42 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:42 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:31:42 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:32:11 -0500] "POST /SistemaVentas/Validar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:32:11 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:34:06 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:34:06 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:34:06 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:34:06 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:34:06 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:03 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:03 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:03 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:04 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:56 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:56 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:56 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:56 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:35:57 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:18 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:18 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:18 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:18 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:18 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:54 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:54 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 2903
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:38:54 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:19 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:19 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:19 -0500] "GET /SistemaVentas/img/mintic2022.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:19 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:19 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:47 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:47 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:43:47 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:44:44 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:44:44 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:44:44 -0500] "GET /SistemaVentas/img/ticsarbo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:44:45 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:45:26 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:45:26 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:45:26 -0500] "GET /SistemaVentas/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:22 -0500] "GET /SistemaVentas/Index.jsp HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [11/Sep/2021:10:48:22 -0500] "GET /SistemaVentas/CssIndex.css HTTP/1.1" 200 3031
